Experiment,Class,Index,Top1,Entropy,SSIM
E2_Mild,7,4,0.999427080154419,0.005958751309663057,9.063774791684409e-05
E2_Mild,7,5,0.9994383454322815,0.005870310589671135,7.29111313191898e-05
E2_Mild,7,6,0.9995226860046387,0.005053039640188217,8.057283114170831e-05
E2_Mild,7,7,0.9995254278182983,0.005054210778325796,7.498938166952203e-05
E2_Mild,7,8,0.9992161989212036,0.007886406034231186,7.047242251968226e-05
E2_Mild,7,9,0.999454915523529,0.005741748493164778,7.799866700811097e-05
E2_Mild,8,0,0.9996898174285889,0.003474499098956585,4.845912395309321e-06
E2_Mild,8,1,0.9996708631515503,0.0036716191098093987,5.764767245426442e-06
E2_Mild,8,2,0.9996145963668823,0.004220825154334307,0.00020951766024071813
E2_Mild,8,3,0.9995474219322205,0.004895027726888657,4.876400044034477e-06
E2_Mild,8,4,0.9996298551559448,0.0040607149712741375,0.0002677750817421222
E2_Mild,8,5,0.9997286200523376,0.003074649954214692,4.265805395135423e-06
E2_Mild,8,6,0.9995182752609253,0.005153302103281021,0.00036072197637006243
E2_Mild,8,7,0.9996004700660706,0.0043562548235058784,0.00030501675356833953
E2_Mild,8,8,0.9997678399085999,0.00266546499915421,4.618630298372116e-06
E2_Mild,8,9,0.9996522665023804,0.0038566063158214092,3.505347824002907e-06
E2_Mild,9,0,0.9988126754760742,0.011694548651576042,8.35467782111709e-06
E2_Mild,9,1,0.9992554783821106,0.007682949770241976,8.563394138690463e-06
E2_Mild,9,2,0.9988773465156555,0.01104979682713747,6.935027688203353e-06
E2_Mild,9,3,0.9989423155784607,0.010448510758578777,6.748607280908702e-06
E2_Mild,9,4,0.999083399772644,0.009293023496866226,9.415488473542828e-06
E2_Mild,9,5,0.9989442229270935,0.01044466346502304,4.3588076073037955e-05
E2_Mild,9,6,0.9990001320838928,0.00993679091334343,7.643008444050386e-05
E2_Mild,9,7,0.9989047050476074,0.010855109430849552,1.195551032589554e-05
E2_Mild,9,8,0.9987969398498535,0.01169383991509676,5.207396290365264e-06
E2_Mild,9,9,0.9991962313652039,0.00824284553527832,8.194973139975333e-06
E3_Strong,0,0,0.9933376312255859,0.05294007807970047,7.315844485747747e-05
E3_Strong,0,1,0.9935759902000427,0.0511910617351532,4.671745593125609e-05
E3_Strong,0,2,0.9931180477142334,0.05384316295385361,7.382802120318505e-05
E3_Strong,0,3,0.9925010800361633,0.0580751895904541,4.46950631418219e-05
E3_Strong,0,4,0.9937292337417603,0.04970929026603699,4.340294718063467e-05
E3_Strong,0,5,0.9932055473327637,0.053405094891786575,7.362653911545862e-05
E3_Strong,0,6,0.992786705493927,0.056574828922748566,3.9174204122566365e-05
E3_Strong,0,7,0.9936192631721497,0.05089181289076805,9.13009827717518e-05
E3_Strong,0,8,0.9920650124549866,0.06160963326692581,6.697517031073004e-05
E3_Strong,0,9,0.9931839108467102,0.053487904369831085,4.632459204915054e-05
E3_Strong,1,0,0.9983999133110046,0.015215806663036346,0.00830666737624409
E3_Strong,1,1,0.9981687068939209,0.017201444134116173,0.0031834035540088345
E3_Strong,1,2,0.9983841180801392,0.015353456139564514,0.005994668919109523
E3_Strong,1,3,0.9983006119728088,0.016004975885152817,0.0038798371420263027
E3_Strong,1,4,0.9983685612678528,0.015499246306717396,0.0026491322882280237
E3_Strong,1,5,0.9986475110054016,0.01312909834086895,0.0024314756873168373
E3_Strong,1,6,0.9983823299407959,0.015318785794079304,0.004626929095341566
E3_Strong,1,7,0.9983847141265869,0.015356691554188728,0.0026770996464995935
E3_Strong,1,8,0.9985226988792419,0.013998874463140965,0.020892800955973956
E3_Strong,1,9,0.9981831908226013,0.017124179750680923,0.006540423098487345
E3_Strong,2,0,0.9982292056083679,0.016701404005289078,0.0028899735389629785
E3_Strong,2,1,0.9976327419281006,0.02170969732105732,0.0003174842468835725
E3_Strong,2,2,0.9978424310684204,0.019942548125982285,7.101416142838637e-05
